"imaging_condition","operator","standardized_mean_window_level","standardized_mean_window_width"
"abdomen_adc",1,56.7491698847088,96.1030643312633
"abdomen_dwi_b0",1,57.7463162273867,112.017273486313
"abdomen_dwi_b1000",1,67.7173162501294,114.54972335723
"abdomen_dwi_b50",1,57.2105418403668,111.153470767029
"abdomen_dynamic",1,76.0498726255452,143.460608885993
"abdomen_heavyt2",1,71.014387164391,153.81588141115
"abdomen_mrcp",1,71.3466791120159,145.340595807274
"abdomen_subtraction",1,70.02897171301,142.224596946036
"abdomen_t1_ce",1,80.220416456174,152.302031288784
"abdomen_t1_in",1,61.6741791691948,128.847396413706
"abdomen_t1_opp",1,69.912360169526,149.707730566433
"abdomen_t1_w",1,77.5595626245559,155.610556135962
"abdomen_t2",1,54.9225829850477,112.284650075534
"abdomen_t2_fs",1,70.5876766923456,141.345211394178
"abdomen_truefisp2d",1,61.2949945235737,136.58027211293
"abdomen_truefisp3d",1,72.8616785232199,143.707015552269
"breast_adc",1,48.1856929616497,105.726622357104
"breast_b1000",1,71.8463031664548,135.261880483752
"breast_b1500",1,74.078290864835,135.954574654166
"breast_b50",1,72.2237116557051,143.586646767858
"breast_dynamic",1,81.5534106998009,147.558921332931
"breast_mip",1,80.239356949522,127.760166690328
"breast_t1_hr",1,73.9493991624807,148.236309930741
"breast_t2_fs",1,75.86513591814,153.109545268519
"cspine_t1",1,52.7113509788254,113.801029263742
"cspine_t1_tra",1,47.6230077841313,97.2513970728609
"cspine_t2",1,58.4718376127095,126.513301224145
"cspine_t2_3d",1,59.5954814737488,124.291945546848
"cspine_t2_tra",1,62.230751490247,147.945284023053
"head_adc",1,41.7324762474965,116.065517413418
"head_dwi_b0",1,68.2722146548913,112.845384728877
"head_dwi_b1000",1,79.3055507468077,136.145714723181
"head_dwi_b2000",1,74.6440885090441,136.607162916762
"head_flair",1,51.2850895594562,89.1483700170134
"head_mra",1,122.082179342177,219.48663643751
"head_mra_mip",1,72.093593811066,116.392215228464
"head_t1",1,41.5404831443624,78.4637524243644
"head_t1_ce",1,51.959628507834,91.0983152616985
"head_t1_vibe_ce",1,63.8878542359133,113.914816640827
"head_t2",1,63.676275052529,109.417047074193
"head_t2star",1,76.1776484946318,111.083561583735
"knee_med_cor",1,60.5156779989777,120.742410693792
"knee_med_sag",1,70.8482941208909,126.088553863424
"knee_pd",1,55.225530614745,88.5159642275369
"knee_pd_fs_cor",1,67.4253009012705,139.923133619173
"knee_pd_fs_sag",1,69.2658144002246,141.282568397664
"knee_t2_fs",1,64.1395914345917,132.970946113418
"lspine_mip",1,74.1244519902191,93.8425184232071
"lspine_stir",1,85.6377500891917,169.764775243816
"lspine_t1",1,59.4458828700235,114.671104964269
"lspine_t1_tra",1,52.8745851153782,117.284638380477
"lspine_t2",1,72.0586073590252,143.602433881538
"lspine_t2_3d",1,72.26754391274,162.566034325247
"lspine_t2_tra",1,64.5489488950302,132.576594250186
"neck_adc",1,36.113298393932,88.3393913110488
"neck_b0",1,68.5824870057755,138.153673307599
"neck_b800",1,65.1049495382351,134.065654536241
"neck_dixon_w",1,68.6342453922486,132.767655605489
"neck_dynamic",1,82.8264947119341,155.542060398496
"neck_dynamic_w",1,65.4686396301035,126.151029861079
"neck_t1",1,52.6718454158967,107.308036165829
"neck_t1_fs_ce",1,65.3373967350621,127.359661087832
"neck_t2",1,54.9323673244174,114.206852260349
"neck_t2_stir",1,72.568977572745,149.632372870128
"pelvis_adc",1,56.5081418180073,101.004093531219
"pelvis_dwi_b0",1,66.0792040873901,132.039409380697
